网络: resnet50, 层数: 0
['DRAM', 'GlobalBuffer', 'InputBuffer', 'WeightBuffer', 'AccumulationBuffer', 'Registers'] [1, 1, 16, 16, 16, 1024, 1024] [inf, 65536, 8192, 32768, 3072, 1]
[1, 16, 1, 1, 64, 1]
Generation 169 当前最优解: [-369.]
Generation 170 当前最优解: [-369.]
Generation 171 当前最优解: [-369.]
Generation 172 当前最优解: [-369.]
Generation 173 当前最优解: [-369.]
Generation 174 当前最优解: [-369.]
Generation 175 当前最优解: [-369.]
Generation 176 当前最优解: [-369.]
Generation 177 当前最优解: [-369.]
Generation 178 当前最优解: [-369.]
Generation 179 当前最优解: [-369.]
Generation 180 当前最优解: [-369.]
Generation 181 当前最优解: [-369.]
Generation 182 当前最优解: [-369.]
Generation 183 当前最优解: [-369.]
Generation 184 当前最优解: [-369.]
Generation 185 当前最优解: [-369.]
Generation 186 当前最优解: [-369.]
Generation 187 当前最优解: [-369.]
Generation 188 当前最优解: [-369.]
Generation 189 当前最优解: [-369.]
Generation 190 当前最优解: [-369.]
Generation 191 当前最优解: [-369.]
Generation 192 当前最优解: [-369.]
Generation 193 当前最优解: [-369.]
Generation 194 当前最优解: [-369.]
Generation 195 当前最优解: [-369.]
Generation 196 当前最优解: [-369.]
Generation 197 当前最优解: [-369.]
Generation 198 当前最优解: [-369.]
Generation 199 当前最优解: [-369.]
耗时:  255.8230333328247
